startx,starty,stopx,stopy,length,time,userid
642,203,1276,211,112,48748,99
1282,212,650,207,123,5057,99
650,208,1227,243,105,3115,99
1226,243,572,212,133,13959,99
572,212,684,212,123,6660,99
685,212,760,219,80,3632,99
761,219,906,211,49,444,99
906,211,1119,213,74,3142,99
1119,214,542,199,132,8368,99
542,199,669,212,23,552,99
668,213,569,214,44,591,99
569,215,576,226,11,233,99
576,227,1307,192,143,3863,99
1306,193,650,469,510,50970,99
650,469,575,451,392,73469,99
575,451,583,459,19,545,99
600,469,579,455,94,1382,99
579,455,636,462,43,917,99
751,307,591,500,129,19327,99
592,501,688,486,562,33454,99
687,486,575,455,60,1391,99
575,456,667,490,76,995,99
668,490,658,480,61,928,99
659,480,658,481,22,523,99
658,482,662,491,107,1453,99
661,491,764,484,88,2931,99
764,485,751,482,188,5330,99
751,483,847,485,47,666,99
847,485,1200,461,111,19027,99
1200,472,563,477,113,965,99
563,477,742,497,839,72368,99
743,498,1061,493,87,16294,99
1061,493,1018,467,319,7123,99
1018,467,1021,468,25,554,99
1021,468,1204,467,93,7962,99
1204,472,642,471,104,911,99
642,470,1202,470,182,2351,99
1213,498,609,720,223,2019,99
609,719,1290,873,366,11492,99
1648,1150,944,284,69,1877,110
944,284,1599,516,30,482,110
1119,970,371,299,69,1628,39
371,299,376,542,131,4667,39
377,543,389,611,22,425,39
389,611,539,604,120,7082,39
539,604,900,877,101,2160,39
900,877,1082,1035,68,1406,39
1073,784,562,231,133,4891,144
562,232,550,428,80,7992,144
550,428,715,513,89,2404,144
715,513,1064,764,81,1601,144
1107,478,407,288,83,5997,188
407,288,1098,527,69,4893,188
1273,894,552,342,142,7003,175
558,345,711,440,15,557,175
702,448,548,697,47,1550,175
551,696,636,764,85,19333,175
641,766,1277,911,46,1597,175
1238,886,586,492,425,11042,181
587,492,574,497,109,4536,181
575,497,1130,691,964,20948,181
1131,691,1136,713,44,1415,181
1137,712,1138,726,153,4082,181
1139,726,1302,845,47,1091,181
1294,889,594,208,166,5769,37
592,208,670,508,145,4908,37
669,508,634,484,184,7270,37
633,484,1303,883,226,9368,37
1299,979,583,271,107,6530,186
582,272,594,307,68,7211,186
593,307,590,399,79,4146,186
590,400,1329,976,73,7177,186
1656,1191,913,310,94,1400,172
913,311,1625,569,63,810,172
1298,856,573,363,213,5633,30
574,363,579,446,159,3820,30
579,445,1305,853,475,16456,30
1214,939,648,336,241,8144,53
648,336,664,525,381,7421,53
664,518,557,702,277,3361,53
557,702,561,560,37,410,53
561,560,878,661,210,3780,53
876,656,822,435,595,17355,53
822,435,792,467,136,2870,53
792,467,726,467,55,553,53
726,467,646,543,142,40305,53
647,543,618,797,349,12769,53
618,781,1209,924,100,1298,53
1267,896,1382,798,27,6779,111
1372,791,557,281,221,9998,111
568,280,1271,899,89,4423,111
1178,476,957,283,180,6299,98
959,283,1185,569,51,933,98
810,449,372,209,66,2399,54
373,209,403,209,38,2612,54
403,210,410,410,79,11089,54
412,410,1074,803,94,6466,54
342,206,70,229,257,16548,129
78,226,69,40,147,13661,129
69,41,68,207,93,16511,129
69,207,67,148,78,5226,129
67,149,293,160,265,63631,129
293,160,742,209,31,981,129
741,209,473,185,266,6843,129
473,185,422,264,191,38684,129
422,264,775,311,444,25565,129
1084,578,369,357,322,14983,116
369,357,369,296,36,711,116
373,295,728,332,70,5348,116
727,332,858,499,19,3730,116
858,500,453,449,50,3884,116
455,452,1106,593,46,946,116
1647,1207,1089,322,107,4270,62
1089,322,1648,554,40,2669,62
1118,528,588,427,239,5871,96
588,429,750,515,37,1356,96
756,496,1118,684,414,18794,96
630,564,559,246,41,4194,120
559,244,515,264,91,3192,120
514,264,507,263,45,1543,120
507,262,465,365,13,1629,120
464,365,995,521,42,918,120
993,517,439,339,72,5397,120
439,340,425,373,11,503,120
425,373,428,404,16,1468,120
429,405,957,532,50,1250,120
983,466,687,296,89,2717,91
687,297,980,542,38,997,91
1173,915,971,288,78,5739,65
971,291,928,526,66,3216,65
928,526,925,653,111,5834,65
925,653,889,603,67,1747,65
889,604,1177,943,70,3831,65
932,588,400,338,228,8592,127
400,340,1116,536,68,1334,127
1179,935,826,215,120,2584,173
826,215,791,353,293,7223,173
791,353,1006,783,380,10371,173
1010,819,942,801,61,1501,173
942,801,1015,785,58,1381,173
1015,785,1016,787,50,965,173
1016,787,1012,785,20,425,173
1012,785,1011,807,63,1136,173
1011,807,1133,838,128,3469,173
1133,837,909,666,140,5598,173
908,665,1169,919,39,1440,173
871,507,155,293,136,4921,187
156,293,144,326,68,7248,187
144,327,861,483,87,5057,187
1160,588,388,329,223,5617,31
390,330,1519,698,35,2199,31
1518,697,392,472,96,3266,31
395,475,1520,698,31,1520,31
1517,699,386,514,97,4937,31
387,514,1105,654,141,8507,31
1304,853,587,362,263,9982,180
588,362,1323,509,51,1106,180
1272,910,564,339,176,7886,174
582,335,1281,499,52,1464,174
1086,672,404,332,210,6320,36
414,286,413,477,106,3567,36
468,464,422,459,86,5637,36
422,463,470,532,49,1037,36
486,533,1095,673,45,893,36
1329,977,588,246,102,11559,142
587,247,582,565,75,2786,142
584,566,1297,979,85,6582,142
1386,913,858,323,927,1502692,189
855,326,1388,925,187,3832,189
1116,778,817,262,146,8912,145
816,292,696,423,43,874,145
697,423,1088,760,60,1098,145
1082,666,473,349,119,3963,38
477,340,515,395,73,2065,38
518,397,852,572,88,5069,38
859,576,1101,690,43,904,38
1168,907,611,342,103,2840,2
611,342,600,286,18,379,2
600,287,521,345,58,1242,2
521,345,531,703,40,736,2
531,703,754,771,66,4160,2
753,771,1196,900,230,162704,2
1278,603,919,410,43,957,5
922,415,1043,709,70,1339,5
1048,706,1265,858,161,6732,5
1213,656,658,298,206,14427,4
657,298,640,477,232,10206,4
641,478,647,744,272,31369,4
648,744,1144,743,113,1080,4
1145,743,1142,729,23,336,4
1141,729,980,731,37,318,4
979,731,664,454,82,5969,4
664,455,1320,883,220,4267,4
1080,587,371,348,112,2660,3
385,355,370,524,281,9043,3
370,525,366,366,144,5519,3
364,367,678,485,83,4027,3
677,485,753,422,49,20514,3
753,423,1078,594,74,9799,3
1298,988,580,238,103,3924,25
580,239,597,371,43,3558,25
596,371,584,424,37,4849,25
582,424,867,364,48,24082,25
868,365,1057,277,130,34545,25
1058,277,851,673,121,11749,25
851,672,1200,639,132,69539,25
1200,638,430,604,111,151181,25
430,605,617,824,53,4311,25
619,824,689,600,14,347,25
689,602,1299,980,35,2256,25
1322,871,764,358,150,3119,167
764,359,645,527,141,2958,167
644,527,857,733,82,825,167
857,732,1019,689,72,36685,167
1018,690,985,699,14,160,167
985,700,882,701,86,23927,167
975,732,1064,709,149,1186,167
1064,710,1307,860,52,432,167
1261,857,554,311,58,1460,22
557,323,921,663,133,9402,22
919,659,928,737,62,2889,22
930,740,1280,863,80,1602,22
1319,883,621,308,217,9757,14
620,309,614,358,48,722,14
614,359,612,414,30,365,14
612,415,632,318,53,3003,14
632,319,632,493,125,1109,14
632,492,707,501,169,6365,14
706,501,1131,373,361,80889,14
1130,373,898,622,563,126616,14
898,621,1053,662,544,102478,14
1054,662,672,740,419,10042,14
673,740,1315,887,96,778,14
1210,905,464,429,125,5413,169
463,429,594,647,221,11482,169
594,647,605,628,94,13116,169
605,628,880,618,46,5003,169
880,618,835,753,107,28404,169
836,753,1207,914,141,48647,169
1287,854,724,246,169,1349,156
723,246,1305,515,57,515,156
1618,1200,983,417,136,4072,13
983,417,981,612,163,13670,13
981,612,948,835,70,2638,13
948,835,1381,1022,94,4922,13
1382,1022,1071,1012,147,37850,13
1071,1012,1624,1202,61,4991,13
1082,783,744,207,60,2322,151
745,207,1081,489,50,806,151
1112,678,451,287,291,7982,105
451,284,522,269,148,4023,105
521,269,393,446,144,4037,105
393,446,955,547,66,2596,105
955,548,630,548,74,27095,105
632,544,384,547,121,8494,105
384,547,1112,675,49,1545,105
1322,489,706,277,159,7820,78
707,277,1316,577,88,861,78
831,399,548,334,175,7540,47
549,334,1866,88,153,1389,47
1814,353,576,190,82,634,47
577,190,1866,303,125,1621,47
1846,540,563,360,124,3744,47
561,361,666,681,87,2054,47
665,682,640,679,17,382,47
641,679,872,661,69,5035,47
872,662,585,681,155,10904,47
579,679,604,678,62,1064,47
604,679,588,679,37,4150,47
589,680,556,677,96,1957,47
557,678,1022,679,183,5851,47
1023,679,499,674,301,66073,47
499,674,1280,866,301,20754,47
851,251,570,278,61,2331,102
570,280,552,351,10,404,102
553,351,979,477,35,1001,102
871,433,152,268,189,5160,40
154,268,871,507,68,1448,40
1134,675,506,373,103,2148,49
481,374,157,461,15,279,49
174,443,470,178,51,840,49
452,192,158,454,14,261,49
181,447,487,290,44,855,49
488,295,517,538,66,662,49
542,516,1126,666,108,22421,49
922,665,765,272,84,16728,134
765,272,549,139,25,6002,134
549,138,1116,778,91,3597,134
1126,667,903,295,75,853,76
914,305,1107,494,50,607,76
1085,1019,443,342,176,14731,82
443,342,416,706,151,5642,82
416,706,365,807,351,11056,82
365,807,1099,1006,164,81800,82
1280,867,559,204,772,14502,133
559,205,1868,59,99,1207,133
1845,330,559,418,321,6434,133
559,418,759,731,90,5606,133
759,731,1269,865,133,49693,133
1116,544,390,422,316,11245,85
391,426,1522,700,69,2712,85
1519,694,401,526,80,2336,85
401,526,1520,701,152,53241,85
1520,696,1117,649,35,1202,85
1643,1001,969,422,172,10091,71
969,422,967,383,37,1732,71
967,383,1073,765,90,4356,71
1073,764,952,1047,343,25890,71
952,1047,1613,1198,252,12699,71
776,310,71,229,196,8348,12
77,229,792,299,75,3897,12
1404,434,393,488,643,40559,150
393,487,1523,700,130,16811,150
1523,699,394,478,207,8923,150
395,478,737,474,211,33077,150
738,473,833,478,59,4800,150
834,478,1519,696,37,4932,150
1520,696,388,455,170,6913,150
390,455,1520,696,76,25125,150
1521,695,394,418,254,7791,150
394,418,520,422,156,39727,150
520,422,512,420,74,2606,150
513,420,726,420,271,15422,150
727,420,1520,696,57,16220,150
1520,695,1521,8,134,11916,150
1519,5,1520,693,32,12662,150
1521,687,401,517,101,2232,150
403,516,1108,644,140,9727,150
1599,516,992,358,91,4560,168
992,358,1663,590,33,561,168
1663,590,1622,596,10,131,168
1633,1251,1092,331,124,3721,15
1092,330,1001,761,84,2196,15
1003,758,1647,1214,155,91931,15
1286,584,576,339,330,7981,157
575,338,599,705,572,15353,157
600,705,619,659,205,23288,157
620,661,783,663,63,6177,157
783,664,625,666,51,2331,157
626,668,753,666,83,8933,157
754,666,650,664,136,6572,157
650,665,797,670,133,8943,157
795,670,660,661,57,2196,157
660,662,613,661,155,30866,157
613,663,798,664,132,24514,157
798,665,660,662,99,7782,157
660,663,719,659,56,3748,157
719,660,766,668,103,2682,157
767,669,1307,855,168,12026,157
1269,864,565,213,202,4608,23
565,214,1277,487,97,1306,23
897,769,575,356,1294,30137,161
575,356,562,295,151,3315,161
562,296,1863,113,134,1594,161
1850,279,590,40,106,1786,161
590,41,453,162,74,1200,161
453,162,565,41,66,1589,161
564,42,1871,398,117,1301,161
1876,597,745,431,226,2501,161
744,431,930,449,81,75236,161
929,448,1013,451,203,2582,161
1014,451,1054,438,61,20722,161
1054,439,574,457,157,2812,161
575,458,668,471,290,3576,161
668,470,659,443,27,267,161
659,444,718,471,298,4386,161
718,471,764,717,55,44495,161
764,717,996,723,241,34223,161
997,723,1120,722,49,648,161
1121,722,1122,704,22,495,161
1123,704,814,686,56,385,161
814,687,719,728,321,110277,161
729,727,1034,726,86,707,161
1033,725,877,720,76,26588,161
878,721,763,715,118,2213,161
761,714,645,718,33,493,161
644,718,890,724,173,2437,161
889,724,547,644,1044,28605,161
547,644,777,725,38,354,161
776,725,765,717,69,1023,161
766,717,981,725,199,93047,161
984,725,990,706,116,20810,161
991,707,955,724,436,6401,161
954,724,689,736,57,443,161
690,736,792,713,102,958,161
792,713,795,706,10,113,161
796,706,920,713,179,2813,161
920,713,917,720,10,168,161
917,721,952,708,49,1056,161
952,708,1281,862,511,10693,161
1104,463,877,273,242,5210,24
879,273,915,338,80,3094,24
917,338,1005,292,78,3185,24
1005,294,1117,535,42,724,24
1124,669,448,322,191,5978,159
445,324,486,468,50,3376,159
485,468,888,543,143,5783,159
888,544,381,479,178,5248,159
382,479,396,479,10,147,159
397,479,563,548,89,8721,159
564,548,598,560,59,2825,159
598,557,543,548,211,18466,159
543,549,443,547,65,2152,159
445,547,1129,684,64,1667,159
1272,937,554,286,163,20628,166
559,304,589,489,97,26926,166
589,499,595,757,57,2521,166
603,754,1284,904,49,1485,166
1078,591,370,226,164,6790,70
369,226,373,411,110,3354,70
381,411,488,453,67,6315,70
487,453,1090,587,97,9061,70
870,480,153,197,144,5270,84
153,197,152,93,193,8623,84
153,93,151,223,89,4536,84
152,223,147,319,309,28848,84
147,319,863,485,142,91379,84
1265,494,569,290,130,4992,135
568,291,1260,558,67,513,135
1259,558,1279,564,53,688,135
1115,677,1322,259,121,10611,48
1320,258,583,287,157,7859,48
585,287,536,370,181,4494,48
537,370,528,467,162,5197,48
532,465,477,516,210,4705,48
477,517,1125,671,69,1396,48
1621,619,1035,425,251,7316,83
1034,425,1072,816,52,673,83
1063,801,1658,1015,150,20243,83
1081,489,752,291,87,6319,77
752,291,1092,547,41,653,77
1322,989,585,322,66,8784,103
578,322,1145,836,91,33971,103
1145,835,1142,818,14,284,103
1141,818,928,817,14,569,103
926,816,720,533,60,5196,103
719,533,1296,988,77,116637,103
1196,915,1170,669,78,771,41
1171,669,637,298,351,12385,41
637,299,604,330,147,2356,41
604,329,613,425,330,10313,41
613,426,702,757,93,2906,41
702,760,1217,938,152,1969,41
861,483,151,273,100,8667,79
151,274,231,307,101,3750,79
231,306,151,329,708,38551,79
151,330,248,499,59,53957,79
248,499,151,374,172,14603,79
152,374,877,483,57,1669,79
1179,905,541,341,156,4586,46
540,341,532,296,35,905,46
532,297,541,512,103,3743,46
541,512,550,614,67,4214,46
550,614,620,724,34,956,46
620,723,1168,907,103,2815,46
1207,914,483,375,270,11675,140
483,375,491,431,29,614,140
491,431,477,306,112,4694,140
477,306,477,506,36,758,140
477,506,611,611,171,10673,140
611,612,594,816,60,51656,140
594,816,556,657,150,21964,140
556,658,648,737,88,4673,140
648,738,403,286,112,4357,140
403,285,733,486,178,21965,140
733,486,710,490,13,282,140
711,490,1196,904,46,1384,140
1104,651,394,390,744,23444,147
393,390,1516,693,25,2190,147
1515,693,392,497,344,9846,147
394,496,1516,695,46,1553,147
1515,695,390,548,267,6295,147
392,549,1520,696,77,2049,147
1519,696,392,478,149,6498,147
393,478,392,472,282,21535,147
392,472,530,476,141,70874,147
532,475,824,472,105,8120,147
824,470,1110,651,161,6777,147
1296,978,780,248,56,1460,178
781,248,1318,533,32,735,178
1285,562,552,317,67,6048,185
550,333,568,774,73,18519,185
576,768,1272,946,75,2191,185
1228,487,392,343,873,39902,171
392,344,1519,696,43,1736,171
1515,695,392,400,232,14816,171
392,400,1518,695,64,25683,171
1519,695,400,512,245,6375,171
403,509,1120,645,73,6344,171
1071,504,406,294,41,796,33
406,293,1102,574,47,882,33
993,517,439,339,72,5397,176
439,340,425,373,11,503,176
425,373,428,404,16,1467,176
429,405,957,532,50,1250,176
1624,1202,985,275,73,3064,182
985,275,995,728,59,2925,182
995,728,1170,1004,72,2896,182
1170,1004,1648,1150,79,5338,182
1185,569,886,508,273,7017,149
887,510,1179,937,116,2902,149
1092,547,811,297,93,12878,34
812,298,1085,766,44,838,34
1070,765,769,291,141,5717,60
769,292,516,396,72,4324,60
517,396,1082,783,32,511,60
1101,666,480,246,108,1930,122
480,251,462,381,42,554,122
462,386,465,426,15,315,122
463,428,440,335,31,512,122
421,348,247,422,12,253,122
267,416,442,387,18,293,122
437,402,258,556,144,25132,122
293,556,1124,666,145,1626,122
1315,577,612,314,138,11347,67
612,315,813,757,95,1260,67
814,757,1314,881,239,1889,67
766,336,70,67,368,16824,93
71,67,81,245,429,29481,93
81,245,74,281,148,14349,93
74,281,773,310,169,26351,93
1274,877,807,408,32,764,125
808,412,794,540,53,2713,125
794,550,708,815,36,864,125
708,807,623,528,47,4431,125
623,545,639,765,27,749,125
637,763,626,739,120,16405,125
640,754,742,719,43,1049,125
740,701,793,465,47,1600,125
792,466,740,721,58,15957,125
748,720,1285,875,45,1190,125
1643,1045,1000,464,165,22990,51
999,466,1049,331,138,4472,51
1045,333,1222,798,85,9816,51
1234,796,1206,1094,82,2461,51
1203,1094,1618,1278,56,3844,51
1219,993,513,313,514,9773,113
513,314,504,374,93,1317,113
504,373,509,356,154,5183,113
509,357,613,212,220,5459,113
610,210,493,530,87,23766,113
493,530,740,512,69,655,113
734,518,673,792,76,656,113
668,792,1216,939,195,11110,113
1318,534,792,326,64,1335,56
794,327,1298,593,49,885,56
1355,806,547,340,91,10885,114
552,340,549,458,75,15936,114
561,454,572,719,94,17603,114
578,713,1257,906,47,1399,114
1619,628,1152,280,52,2692,69
1152,280,1083,356,23,527,69
1083,359,1249,796,109,2446,69
1216,849,1372,998,142,27157,69
1371,997,1353,827,38,1033,69
1353,826,1643,1045,95,45343,69
1206,600,695,575,768,12855,183
695,575,844,779,89,1090,183
843,779,1219,993,94,11363,183
1210,562,653,313,91,3946,35
653,313,654,776,72,2872,35
654,776,190,690,83,51253,35
190,690,711,749,66,18492,35
710,750,680,756,19,372,35
681,756,1210,905,149,4894,35
1312,853,686,367,251,6389,148
686,368,725,517,215,2496,148
725,516,742,720,65,7459,148
743,720,965,722,94,799,148
966,722,1302,860,91,616,148
1618,1278,1090,356,121,3688,170
1091,356,1015,435,46,1314,170
1015,432,990,536,67,1534,170
991,536,1019,802,65,6664,170
1019,803,1127,869,72,32075,170
1127,869,1176,872,67,20886,170
1179,872,1243,903,49,11334,170
1243,904,1189,831,95,32400,170
1189,831,1051,1208,85,79819,170
1051,1209,1386,1218,161,11687,170
1385,1219,1630,1254,49,2484,170
1089,480,372,295,109,3387,184
371,295,1087,558,54,1060,184
1395,600,1007,284,66,561,146
1008,284,1386,914,73,1279,146
1095,1025,430,286,77,3253,179
430,286,431,659,80,3953,179
431,659,443,794,127,11118,179
443,794,1086,1019,63,7996,179
1081,1035,383,324,100,5823,141
383,324,388,373,33,738,141
388,374,387,435,36,736,141
386,435,379,498,35,626,141
379,497,383,262,105,1981,141
383,262,448,880,93,4600,141
448,880,492,348,69,14802,141
491,348,540,602,48,6340,141
540,602,475,851,58,16270,141
475,851,1084,1007,99,2042,141
1042,770,465,276,118,5095,57
466,276,410,477,65,3533,57
411,477,435,664,187,74525,57
435,664,1101,795,53,4571,57
1169,919,886,330,47,13228,115
886,333,852,494,120,3867,115
852,495,844,582,61,7799,115
844,581,664,306,37,5371,115
664,314,772,202,114,80132,115
772,203,768,492,50,933,115
768,492,862,190,74,2041,115
862,190,717,192,39,849,115
717,192,684,196,49,1276,115
684,196,787,390,60,7684,115
787,390,801,636,57,86756,115
801,636,776,785,34,540,115
776,784,734,459,35,5847,115
739,468,730,759,33,1316,115
738,759,1194,926,39,665,115
1098,465,685,288,272,6419,50
728,317,1129,532,40,790,50
1102,774,380,278,81,10792,112
380,279,367,457,68,1209,112
367,457,664,485,72,7147,112
665,484,472,642,76,16027,112
471,643,1072,759,106,68567,112
1046,669,444,221,187,9359,92
443,224,429,472,128,7154,92
424,444,431,367,316,10499,92
440,361,676,213,76,3012,92
680,214,605,332,151,2776,92
605,338,509,572,258,13431,92
528,575,1121,692,29,667,92
1264,496,961,310,34,882,66
963,311,1282,600,46,972,66
1218,937,578,258,434,48648,124
579,258,1202,549,74,881,124
1202,549,1206,537,20,586,124
1621,567,991,396,232,3721,59
992,396,1623,622,76,912,59
1182,618,564,324,467,44621,61
565,324,570,744,184,5591,61
569,744,562,750,132,6956,61
562,749,717,761,108,45088,61
717,760,1054,755,327,7026,61
1055,755,730,783,66,4177,61
731,783,1296,847,257,3156,61
1111,674,775,245,56,1550,95
770,246,204,392,49,492,95
216,391,496,383,44,457,95
471,385,210,426,17,159,95
227,418,478,377,54,894,95
450,378,166,390,18,171,95
171,394,443,473,29,332,95
438,474,391,491,49,750,95
391,492,404,518,33,572,95
433,514,888,490,83,1139,95
901,502,1134,678,58,1201,95
1099,1006,393,227,85,2850,123
394,227,1071,504,47,849,123
1386,921,949,247,273,3562,6
947,248,742,526,117,3136,6
742,526,1397,934,107,1853,6
1053,688,700,266,112,2244,1
716,280,1118,472,37,807,1
1176,916,893,216,61,1786,7
895,216,1178,476,51,2181,7
1297,593,663,351,42,717,9
665,353,887,794,51,8191,9
888,794,1321,989,229,72418,9
1260,850,911,324,65,6903,88
913,329,1019,510,22,4130,88
1019,513,984,709,36,766,88
985,711,1282,883,40,1180,88
1395,933,874,249,213,2368,101
875,249,1359,530,64,557,101
1090,586,368,291,122,5039,43
374,295,1088,480,37,746,43
1599,1151,1179,161,234,10021,106
1181,161,922,174,70,1180,106
922,173,1066,233,645,28173,106
1064,235,1005,384,229,2184,106
1005,386,1042,262,89,634,106
1042,263,1026,321,42,399,106
1026,321,991,406,23,210,106
991,405,1001,322,46,474,106
1001,323,1059,360,75,1404,106
1059,359,1022,258,63,780,106
1021,259,1011,307,26,519,106
1011,308,1402,563,193,1241,106
1401,563,999,569,36,229,106
998,569,1203,571,103,660,106
1203,571,931,382,298,3871,106
931,381,1018,493,478,9798,106
1017,493,1006,693,258,7021,106
1005,693,1128,1016,128,2082,106
1130,1016,841,820,242,5269,106
842,820,1161,955,238,105158,106
924,490,597,369,392,11864,139
598,369,582,370,16,607,139
583,371,1313,591,47,1180,139
1649,555,1136,329,130,12117,44
1136,326,1616,630,45,997,44
1097,527,497,305,90,5211,130
497,305,777,594,86,3557,130
778,594,1104,781,39,956,130
1306,590,715,335,391,4574,86
715,336,821,776,65,419,86
820,776,1313,854,111,15977,86
1273,869,558,436,110,2757,72
557,435,556,420,18,652,72
556,422,559,406,45,1422,72
560,413,649,687,34,784,72
652,691,1272,866,145,17109,72
1656,1015,900,325,282,11586,137
900,327,905,393,19,241,137
905,395,912,457,17,210,137
912,463,911,512,20,272,137
911,513,904,564,21,266,137
904,574,943,648,39,426,137
942,648,733,494,30,442,137
735,490,1166,1012,172,5833,137
1166,1011,1045,786,79,35635,137
1046,786,1398,816,61,2250,137
1397,816,1108,1057,121,26202,137
1108,1058,1470,1061,36,514,137
1463,1052,1398,1046,14,169,137
1399,1046,1512,1180,58,961,137
1512,1179,1135,1087,25,282,137
1134,1086,1625,1213,164,2249,137
1177,943,937,257,147,5155,75
937,256,903,475,76,3738,75
903,476,1022,523,177,7495,75
1022,524,1176,917,47,800,75
1628,1210,903,418,152,5823,108
902,420,901,543,98,2317,108
900,543,961,904,81,4011,108
960,900,1041,1193,85,85849,108
1039,1192,996,918,47,1315,108
990,912,1088,1053,68,753,108
1088,1052,1629,1218,156,5712,108
1102,574,481,257,59,4025,81
481,257,492,313,53,892,81
492,313,698,772,59,3228,81
701,772,1119,970,44,841,81
1105,492,1009,315,105,1255,21
1013,324,1116,559,39,1060,21
1270,853,990,259,79,1408,163
996,263,1280,510,52,1298,163
1059,415,406,241,74,4958,26
406,241,366,311,33,555,26
368,308,375,305,21,436,26
375,305,371,376,54,1360,26
371,377,374,430,29,1139,26
374,430,376,499,29,893,26
377,499,566,347,44,4411,26
566,347,377,365,81,10348,26
379,365,381,365,64,2895,26
382,365,469,705,73,7079,26
470,705,542,625,30,2108,26
541,625,442,601,39,2351,26
442,601,549,639,185,78613,26
550,639,1068,759,51,897,26
1314,855,906,378,72,3817,164
904,384,894,448,239,3287,164
892,453,903,958,317,6260,164
901,957,898,1048,85,2190,164
897,1048,922,1012,44,1733,164
923,1012,951,1016,43,3353,164
951,1015,1622,1221,107,19121,164
1086,781,593,216,39,2197,19
594,216,1116,481,49,928,19
1238,772,913,388,193,3292,10
911,388,913,769,243,4250,10
913,770,1268,1044,158,2431,10
1269,1045,1658,1191,197,13819,10
1087,557,379,328,99,9070,17
379,329,1262,522,34,793,17
1263,522,698,570,63,3171,17
697,571,1086,575,104,19259,17
1299,897,621,210,172,2755,28
620,210,1323,489,93,1248,28
1253,533,400,268,300,6201,155
400,268,1114,458,74,1409,155
1108,497,819,305,113,2564,136
819,306,1309,590,100,696,136
1196,900,576,226,98,3015,80
576,227,1200,500,41,766,80
863,485,154,259,233,13578,109
155,258,157,423,186,34710,109
158,423,160,490,215,361184,109
160,491,873,478,120,25033,109
774,311,77,230,361,11207,74
77,230,76,233,99,4238,74
77,232,90,203,216,10536,74
90,203,776,313,135,21370,74
1257,895,1262,900,87,18421,131
877,483,153,295,162,7706,73
153,295,151,418,100,3405,73
150,418,99,438,27,17493,73
99,438,152,440,89,7301,73
152,440,143,481,203,27536,73
143,481,156,377,301,117492,73
156,377,274,122,144,35740,73
274,123,144,358,72,1630,73
144,358,876,478,105,8648,73
1115,559,917,386,59,1051,87
910,388,515,446,52,586,87
483,449,242,470,12,257,87
259,470,531,519,20,329,87
540,520,1109,670,112,1488,87
1277,506,561,291,141,5988,107
566,296,1279,563,56,1998,107
1110,675,473,269,284,8300,45
472,269,416,384,109,3469,45
417,381,611,396,145,2958,45
611,395,457,182,21,474,45
459,188,569,703,21,691,45
569,702,436,298,47,1001,45
436,298,430,289,20,1067,45
430,292,632,701,21,778,45
634,699,803,698,44,2167,45
799,695,755,577,129,5404,45
757,577,383,296,238,5757,45
383,296,717,440,64,27148,45
717,440,672,566,174,6508,45
676,565,1125,680,53,1241,45
1205,536,557,321,2322,73091,138
558,322,1207,601,74,650,138
1358,530,1053,310,102,3105,100
